Election,CONSTITUENCY,Department,Year,Candidate Name,Party,First Round Total Votes,1st Round Percentage of votes,2nd Round Total Votes,2nd Round Percentage of votes,,
,,,Year,,,,,,,,
,,,Year,,,,,,,2016 presidential election,http://psephos.adam-carr.net/countries/h/haiti/haiti20161.txt
,,,Year,,,,,,,,
SENATE 1st Round Election,,NORD OUEST,2016,Francois Lucas Sainvil,Mosanoh,"10,049",15.8,,,,
SENATE 1st Round Election,,NORD OUEST,2016,Elie Nicolas Plancher,OPL,"8,945",14.1,,,,
SENATE 1st Round Election,,NORD OUEST,2016,Jean Fritznel Bellefleur,RDNP,"7,168",11.3,,,,
SENATE 1st Round Election,,NORD OUEST,2016,Jean-Gary Sanon,Fusion,"6,515",10.2,,,,
SENATE 1st Round Election,,NORD OUEST,2016,Pierre Martin Tatoute,Verite,"3,193",5,,,,
SENATE 1st Round Election,,NORD OUEST,2016,3 others,,"5,654",8.9,,,,
SENATE 1st Round Election,,NORD OUEST,2016,,,,,,,,
SENATE 1st Round Election,,OUEST,2016,Fednel Monchery,PHTK,"78,172",21.7,,,,
SENATE 1st Round Election,,OUEST,2016,Pierre Paul Patrice Dumont,RPH,"67,194",18.7,,,,
SENATE 1st Round Election,,OUEST,2016,Louis Gerald Gilles,Fanmi Lavalas,"40,596",11.3,,,,
SENATE 1st Round Election,,OUEST,2016,Alix Didier Fils-Aime,Verite,"40,232",11.2,,,,
SENATE 1st Round Election,,OUEST,2016,Jean Myrtho Muraille,PD,"31,406",8.7,,,,
SENATE 1st Round Election,,OUEST,2016,Arnel Belizaire,APLA,"26,095",7.3,,,,
SENATE 1st Round Election,,OUEST,2016,Jean Adler Gaston,Concorde,"16,917",4.7,,,,
SENATE 1st Round Election,,OUEST,2016,Michel Andre,RDNP,"14,260",4,,,,
SENATE 1st Round Election,,OUEST,2016,12 others,,"37,820",10.5,,,,
SENATE 1st Round Election,,OUEST,2016,,,,,,,,
SENATE 1st Round Election,,SUD,2016,Pierre Francois SILDOR,PHTK,"21,683",25.5,,,,
SENATE 1st Round Election,,SUD,2016,Fritz Carlos Lebon,Fanmi Lavalas,"21,532",25.3,,,,
SENATE 1st Round Election,,SUD,2016,Pierre Franky Exius,LAPEH,"17,591",20.7,,,,
SENATE 1st Round Election,,SUD,2016,Yvon Buissereth,Verite,"6,970",8.2,,,,
SENATE 1st Round Election,,SUD,2016,Gandhy Dorfeuille,APLA,"4,420",5.2,,,,
SENATE 1st Round Election,,SUD,2016,Anthony Gedeon,OPL,"4,220",5,,,,
SENATE 1st Round Election,,SUD,2016,3 others,,"7,533",8.9,,,,
SENATE 1st Round Election,,SUD,2016,,,,,,,,
SENATE 1st Round Election,,SUD EST,2016,Joseph LAMBERT,KONA,"44,131",53.8,,,,
SENATE 1st Round Election,,SUD EST,2016,Hebert Lahatte,KID,"15,922",19.4,,,,
SENATE 1st Round Election,,SUD EST,2016,Jacques Roderich Ladouceur,PD,"10,331",12.6,,,,
SENATE 1st Round Election,,SUD EST,2016,Miralda Jameau,Fanmi Lavalas,"2,820",3.4,,,,
SENATE 1st Round Election,,SUD EST,2016,Marie Sylvia Fabien Moise,MOPANOU,"2,279",2.8,,,,
SENATE 1st Round Election,,SUD EST,2016,Joissaint Ephesien,Verite,"2,146",2.6,,,,
SENATE 1st Round Election,,SUD EST,2016,3 others,,"3,768",4.6,,,,
SENATE 1st Round Election,,SUD EST,2016,,,,,,,,
SENATE 1st Round Election,,SUD EST,2016,,,,,,,,
