Election,CONSTITUENCY,Department,Year,Candidate Name,Party,First Round Total Votes,1st Round Percentage of votes,2nd Round Total Votes,2nd Round Percentage of votes,,
,,,Year,,,,,,,,
,,,Year,,,,,,,2016 presidential election,http://psephos.adam-carr.net/countries/h/haiti/haiti20161.txt
,,,Year,,,,,,,,
LEGISLATIVE ELECTION,,NORD,2015,Jonguel Brinvert,PLK,"2,252",14.6,,,,
LEGISLATIVE ELECTION,,NORD,2015,Parice Obas,Fanmi L,870,5.6,,,,
LEGISLATIVE ELECTION,,NORD,2015,Wendell Francois,OPL,795,5.2,,,,
LEGISLATIVE ELECTION,,NORD,2015,10 others,,,,,,,
LEGISLATIVE ELECTION,,NORD,2015,,,,,,,,
LEGISLATIVE ELECTION,LIMONADE,NORD,2015,TERTIUS TANIS,Kontrapepla,"2,714",34.5,"3,237",51.4,,
LEGISLATIVE ELECTION,,NORD,2015,Gluck Theophile,Verite,"2,037",25.9,"3,004",47.7,,
LEGISLATIVE ELECTION,,NORD,2015,Fanfan Etienne,Pitit Dess,985,12.5,,,,
LEGISLATIVE ELECTION,,NORD,2015,Yves Valcin,Mochrenha,885,11.2,,,,
LEGISLATIVE ELECTION,,NORD,2015,8 others,,,,,,,
LEGISLATIVE ELECTION,,NORD,2015,,,,,,,,
LEGISLATIVE ELECTION,PIGNON-RANQUITTE-LA VICTOIRE,NORD,2015,Hidson Nelson,PHTK,"5,131",41.8,"8,285",46.1,,
LEGISLATIVE ELECTION,,NORD,2015,PETER CASTIN CONSTANTIN,Verite,"4,468",36.4,"9,622",53.5,,
LEGISLATIVE ELECTION,,NORD,2015,Djail Covsky Aimable,Bouclier,"2,083",17,,,,
LEGISLATIVE ELECTION,,NORD,2015,4 others,,,,,,,
LEGISLATIVE ELECTION,,NORD,2015,,,,,,,,
LEGISLATIVE ELECTION,PILATE,NORD,2015,Worms Perilus,PHTK,"2,059",29.3,"4,038",45.5,,
LEGISLATIVE ELECTION,,NORD,2015,EXIL LUCIENNA,Bouclier,"1,724",24.5,"4,792",54,,
LEGISLATIVE ELECTION,,NORD,2015,Julia Delus,Fusion,663,9.4,,,,
LEGISLATIVE ELECTION,,NORD,2015,Wandy Ilfrene,AKAO,600,8.5,,,,
LEGISLATIVE ELECTION,,NORD,2015,Yvon Marcelin,Konfyans,415,5.9,,,,
LEGISLATIVE ELECTION,,NORD,2015,Francine Despeigne,Verite,375,5.3,,,,
LEGISLATIVE ELECTION,,NORD,2015,Cacsman Brutus,Pont,356,5.1,,,,
LEGISLATIVE ELECTION,,NORD,2015,7 others,,,,,,,
LEGISLATIVE ELECTION,,NORD,2015,,,,,,,,
LEGISLATIVE ELECTION,PLAINE DU NORD-MILOT,NORD,2015,CLAUDE LESLY PIERRE,Bouclier,"2,538",22.3,"10,456",59.3,,
LEGISLATIVE ELECTION,,NORD,2015,Modeline Joseph,Pitit Dess,"1,687",14.8,"6,885",39,,
LEGISLATIVE ELECTION,,NORD,2015,Rony Pierre,Consortium,"1,574",13.8,,,,
LEGISLATIVE ELECTION,,NORD,2015,Etienne Marie Pierre,PHTK,"1,488",13.1,,,,
LEGISLATIVE ELECTION,,NORD,2015,Phanuel Odalbert,Pont,964,8.5,,,,
LEGISLATIVE ELECTION,,NORD,2015,Jean Eddy Garçon,KID,773,6.8,,,,
LEGISLATIVE ELECTION,,NORD,2015,9 others,,,,,,,
LEGISLATIVE ELECTION,,NORD,2015,,,,,,,,
LEGISLATIVE ELECTION,PLAISANCE,NORD,2015,Renaud Jean Baptiste,PHTK,"3,632",33.5,,,,
LEGISLATIVE ELECTION,,NORD,2015,Audne Alcide,Verite,"3,163",29.2,,,,
LEGISLATIVE ELECTION,,NORD,2015,Brunel Jeune,Mochrenha,"1,884",17.4,,,,
LEGISLATIVE ELECTION,,NORD,2015,Georges Eugene,Renmen Ayiti,"1,325",12.2,,,,
LEGISLATIVE ELECTION,,NORD,2015,11 others,,,,,,,
LEGISLATIVE ELECTION,,NORD,2015,,,,,,,,
LEGISLATIVE ELECTION,PORT MARGOT,NORD,2015,Philome Hilaire Fanfan,PHTK,"2,614",26.3,,,,
LEGISLATIVE ELECTION,,NORD,2015,Tholeme S Joseph,Pitit Dess,"2,372",23.9,,,,
LEGISLATIVE ELECTION,,NORD,2015,Virgile Charnel Theogene,Bouclier,"1,632",16.4,,,,
LEGISLATIVE ELECTION,,NORD,2015,Tonguy Joseph Estimable,Fusion,"1,081",10.9,,,,
LEGISLATIVE ELECTION,,NORD,2015,Lemercier Eugene Paul,Pont,898,9,,,,
LEGISLATIVE ELECTION,,NORD,2015,12 others,,,,,,,
LEGISLATIVE ELECTION,,NORD,2015,,,,,,,,
LEGISLATIVE ELECTION,QUARTIER MORIN,NORD,2015,Hugue Celestin,PLK,"1,551",33.7,"2,324",49.4,,
LEGISLATIVE ELECTION,,NORD,2015,ESAIE PROPHETE,OPL,980,21.3,"2,334",49.6,,
LEGISLATIVE ELECTION,,NORD,2015,Doucet Eugene,Consortium,626,13.6,,,,
LEGISLATIVE ELECTION,,NORD,2015,Rose Carmelle Moncion,PHTK,529,11.5,,,,
LEGISLATIVE ELECTION,,NORD,2015,Wilnick Pierre,Pont,386,8.4,,,,
LEGISLATIVE ELECTION,,NORD,2015,4 others,,,,,,,
LEGISLATIVE ELECTION,,NORD,2015,,,,,,,,
LEGISLATIVE ELECTION,SAINT RAPHAEL,NORD,2015,Jean-Wilfrid Borgella,PHTK,"4,078",44.9,,,,
LEGISLATIVE ELECTION,,NORD,2015,Bener Sissoir,Pitit Dess,"2,711",29.9,,,,
LEGISLATIVE ELECTION,,NORD,2015,Odilon Lafrance,Verite,875,9.6,,,,
LEGISLATIVE ELECTION,,NORD,2015,Martin Pierre,Renmen Ayiti,602,6.6,,,,
LEGISLATIVE ELECTION,,NORD,2015,Achille Joseph,OPL,541,6,,,,
LEGISLATIVE ELECTION,,NORD,2015,7 others,,,,,,,
LEGISLATIVE ELECTION,,NORD,2015,,,,,,,,
LEGISLATIVE ELECTION,,NORD,2015,,,,,,,,
LEGISLATIVE ELECTION,,NORD,2015,,,,,,,,
LEGISLATIVE ELECTION,FERRIER-LES PERCHES,NORD EST,2015,GERALD JEAN,Verite,"2,610",36.5,"4,026",50.4,,
LEGISLATIVE ELECTION,,NORD EST,2015,Elience Petit-FrÃ¨re,Fanmi L,"1,924",26.9,"3,943",49.4,,
LEGISLATIVE ELECTION,,NORD EST,2015,Miguel Richard,Fusion,"1,195",16.7,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,Josenie Ferdinand Jean,PHTK,433,6.1,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,9 others,,,,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,,,,,,,,
LEGISLATIVE ELECTION,FORT-LIBERTE,NORD EST,2015,Miolin Charles-Pierre,Fanmi L,"2,420",22.8,"5,825",46.1,,
LEGISLATIVE ELECTION,,NORD EST,2015,JACQUELIN RUBES,KID,"1,659",15.6,"6,807",53.8,,
LEGISLATIVE ELECTION,,NORD EST,2015,David Pierre,KP,"1,286",12.1,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,Phenol Lamothe,AAA,"1,031",9.7,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,Rolin Benoit,Bouclier,"1,002",9.4,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,Guiteau Pierre,PKN,600,5.7,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,Louicius Brenord,Renmen Ayiti,590,5.6,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,8 others,,,,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,,,,,,,,
LEGISLATIVE ELECTION,MOMBIN CROCHU,NORD EST,2015,Fils Aime Saint Fleur,Bouclier,"1,348",25.3,"2,010",32.4,,
LEGISLATIVE ELECTION,,NORD EST,2015,MICHEL JACQUES ST LOUIS,PHTK,"1,300",24.4,"4,162",67.1,,
LEGISLATIVE ELECTION,,NORD EST,2015,Luzette Codio,Respe,"1,184",22.2,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,Erick Accilus,Verite,"1,088",20.4,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,Phaustin Phanord,OPL,369,6.9,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,,,,,,,,
LEGISLATIVE ELECTION,MONT-ORGANISE-CAPOTILLE,NORD EST,2015,Willa Alphonse,PHTK,"3,092",30.4,"5,680",47.4,,
LEGISLATIVE ELECTION,,NORD EST,2015,FRIST ADRIEN,KID,"2,893",28.5,"6,204",51.7,,
LEGISLATIVE ELECTION,,NORD EST,2015,Clement Pierre,Verite,"2,749",27.1,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,Gelanes Alfred,KP,945,9.3,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,1 other,,,,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,,,,,,,,
LEGISLATIVE ELECTION,OUANAMINTHE,NORD EST,2015,ELISMA FLORVIL,PHTK,"5,271",29.4,"12,398",55.1,,
LEGISLATIVE ELECTION,,NORD EST,2015,Jean-Wisner FidÃ¨le,Bouclier,"3,770",21.1,"9,671",43.4,,
LEGISLATIVE ELECTION,,NORD EST,2015,Wideline Pierre,APLA,"3,104",17.3,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,Joseph Saintilma,Verite,"2,138",11.9,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,Rony Pierre,Fusion,"1,557",8.7,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,Venel Montilus,KID,"1,072",6,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,6 others,,,,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,,,,,,,,
LEGISLATIVE ELECTION,SAINTE-SUZANNE,NORD EST,2015,Pierrogene Davilmar,Inite Patr,"2,337",36.2,"3,925",48.7,,
LEGISLATIVE ELECTION,,NORD EST,2015,PHILIPPE PARVILUS,PHTK,"2,062",32,"4,128",51.2,,
LEGISLATIVE ELECTION,,NORD EST,2015,Samson Marseille,Verite,907,14.1,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,Ferdinand Cheristin,OPL,547,8.5,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,Ermicile Jn Pierre,KP,414,6.4,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,2 Others,,,,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,,,,,,,,
LEGISLATIVE ELECTION,TERRIER-ROUGE,NORD EST,2015,Rodeley Pierre,MOPOD,"1,030",17.4,"3,759",46.5,,
LEGISLATIVE ELECTION,,NORD EST,2015,JOVENEL LOUIS,MONHA,852,14.4,"4,305",53.3,,
LEGISLATIVE ELECTION,,NORD EST,2015,Harry Jean FranÃ§ois,Bouclier,804,13.5,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,Alix Felix,Pont,722,12.2,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,Hermane Nelson,Pont,693,11.7,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,Enos Pierre,PPFF,646,10.9,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,Charlot Charles,Consortium,516,8.7,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,4 others,,,,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,,,,,,,,
LEGISLATIVE ELECTION,TROU-DU-NORD-CARACOL,NORD EST,2015,WANIQUE PIERRE,PHTK,"5,139",35.1,"8,940",51,,
LEGISLATIVE ELECTION,,NORD EST,2015,Donal Dorsainvil,Verite,"4,508",30.8,"8,569",48.8,,
LEGISLATIVE ELECTION,,NORD EST,2015,Maurice Jean-Gilles,Pitit Dess,"1,647",11.2,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,Jean Claude François,KP,"1,387",9.5,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,Edwight Rozefort,AAA,816,5.6,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,3 others,,,,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,,,,,,,,
LEGISLATIVE ELECTION,VALLIERES-CARICE,NORD EST,2015,JEAN BERTHOLE BASTIEN,PHTK,"2,343",32.2,"3,406",50.2,,
LEGISLATIVE ELECTION,,NORD EST,2015,Phanese R,,,,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,Laguerre Jean Baptiste,OPL,"1,573",21.6,"3,358",49.6,,
LEGISLATIVE ELECTION,,NORD EST,2015,Anne Catherine Accilus,Fusion,"1,159",15.9,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,Ornecifort Phanor,Pitit Dess,741,10.2,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,Edlyn Jn Simon,Verite,732,10,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,Joseph Celigny Celicourt,PRHA,494,6.8,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,2 others,,,,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,,,,,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,,,,,,,,
LEGISLATIVE ELECTION,,NORD EST,2015,,,,,,,,
LEGISLATIVE ELECTION,ANSE-A-FOLEUR,NORD OUEST,2015,Louis-Marie Bonhomme,Pont,"1,786",33.9,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,APPOLIUS RAPHAEL,Fanmi L,"1,447",27.4,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Joas Velly Joseph,KID,"1,294",24.5,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Inalio Noel,Mosano,288,5.5,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Patricia Paul,AAA,276,5.2,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,1 other,,,,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,,,,,,,,
LEGISLATIVE ELECTION,BASSIN-BLEU,NORD OUEST,2015,DENIS SAINT-FORT,PHTK,"1,057",19.9,"3,714",53.2,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Wilbens Sylvain,Renmen Ayiti,952,17.9,"3,199",45.9,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Hilaire Romual Joubert,Ateri,887,16.7,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Fedeline Vil,Pont,845,15.9,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Jeir Pierre,KID,822,15.5,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Jean Andre Aurelien,Pitit Dess,313,5.9,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,2 others,,,,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,,,,,,,,
LEGISLATIVE ELECTION,BOMBARDOPOLIS-BAIE DE HENNE,NORD OUEST,2015,NONCILES VALBRUN,Verite,"2,802",29.8,"6,216",57,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Jean Michel Moise,PF,"1,184",12.6,"4,635",42.5,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Saint Fanis Telcin,Fanmi L,"1,121",11.9,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Pierre Monique Joseph,AAA,"1,079",11.5,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Jusclaire Dorgil,OPL,"1,044",11.1,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Gasby Jacques,PHTK,837,8.9,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,5 others,,,,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,,,,,,,,
LEGISLATIVE ELECTION,CHANSOLME,NORD OUEST,2015,FILS JOSEPH,OPL,835,32.6,"2,493",60.2,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Théophile Pierre,Pont,706,27.6,"1,636",39.5,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Pierre Martin Tatoute,Verite,401,15.7,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Chanoine Fertil,Fanmi L,276,10.8,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Fedmond Mazard,PHTK,245,9.6,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,1 other,,,,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,,,,,,,,
LEGISLATIVE ELECTION,JEAN-RABEL,NORD OUEST,2015,Jean-Wysner Gentilhomme,Mosano,"3,458",21.2,"9,312",48.3,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,GERARD THERAMENE,Verite,"3,144",19.3,"9,928",51.5,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Wilner Saintil,PHTK,"1,797",11,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Remy Julmiste,OPL,"1,667",10.2,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Yavelina Jean-Marie,Pont,"1,510",9.3,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Sylvain Louisdor,Mopam,943,5.8,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,8 others,,,,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,,,,,,,,
LEGISLATIVE ELECTION,LA TORTUE,NORD OUEST,2015,JEAN ASTHENE,Mosano,"1,932",37.3,"3,199",53.9,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Acilus Gros-Negre,Pont,"1,187",22.9,"2,723",45.9,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Lidnert Joseph,Fusion,835,16.1,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Rolin Joseph,Fanmi L,567,11,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Saint-Luc Louissaint,Renmen Ayiti,378,7.3,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,2 others,,,,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,,,,,,,,
LEGISLATIVE ELECTION,MOLE SAINT-NICOLAS,NORD OUEST,2015,Eloune Doreus,OPL,"2,828",34.1,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Yves Dupras,Verite,"2,047",24.7,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Joseph Darnley Plancher,Respe,"1,769",21.4,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Francisque Graduel,Pont,"1,020",12.3,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,5 others,,,,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,,,,,,,,
LEGISLATIVE ELECTION,PORT-DE-PAIX,NORD OUEST,2015,Tony Antonelly Francois,PHTK,"2,345",11.6,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Leslie Gelin,Pont,"2,326",11.5,"13,388",46.1,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,JEAN MARY FORESTAL,KP,"2,011",10,"15,116",52,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Amyot Louystz Francois,Bouclier,"1,966",9.8,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Wilner Agenor,Mosano,"1,939",9.6,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Daniel Loriston,KID,"1,911",9.5,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Wisly Lorfils,Pitit Dess,"1,501",7.5,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,12 others,,,,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,,,,,,,,
LEGISLATIVE ELECTION,SAINT LOUIS NORD,NORD OUEST,2015,FREUD MAURANCY,Mosano,"2,672",22.3,"9,329",70.6,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Webelaire A Dufresne,Pont,"1,433",12,"3,825",28.9,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Kedna Caprice,Fusion,"1,016",8.5,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Gabart Pascal,Bouclier,875,7.3,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Napela Saintil,Consortium,777,6.5,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Jacques Garçon,KID,716,6,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Jean Ronel Fertil,PPG18,712,5.9,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Jean Souffrant,APLA,659,5.5,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,Dominique Mareus,Verite,625,5.2,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,8 others,,,,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,,,,,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,,,,,,,,
LEGISLATIVE ELECTION,,NORD OUEST,2015,,,,,,,,
LEGISLATIVE ELECTION,ANSE A GALETS,OUEST,2015,MICALERME PIERRE,Renmen Ayiti,"2,113",27.7,"7,223",62.9,,
LEGISLATIVE ELECTION,,OUEST,2015,Wilnique Pierre,Kontrapepla,"1,214",15.9,"4,209",36.6,,
LEGISLATIVE ELECTION,,OUEST,2015,Elonie Audain Fleurima,Reklam,"1,197",15.7,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Rebens Edouard,Pont,737,9.7,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Marie Ganette Galiotte,PHTK,640,8.4,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Elder Joseph,Verite,473,6.2,,,,
LEGISLATIVE ELECTION,,OUEST,2015,6 others,,,,,,,
LEGISLATIVE ELECTION,,OUEST,2015,,,,,,,,
LEGISLATIVE ELECTION,ARCAHAIE,OUEST,2015,Pierre Fequiere Julien,Canaan,"3,018",20.3,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Joseph Lucien Jura,PHTK,"2,839",19.1,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Wilner Rene,Verite,"1,878",12.6,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Ireste Joseph,Fanmi L,"1,507",10.1,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Jean-Pierre Aboutou,LAPEH,"1,429",9.6,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Jean Jackson Michel,AAA,"1,152",7.7,,,,
LEGISLATIVE ELECTION,,OUEST,2015,10 others,,,,,,,
LEGISLATIVE ELECTION,,OUEST,2015,,,,,,,,
LEGISLATIVE ELECTION,CABARET,OUEST,2015,Joseph Manes Louis,Fanmi L,"4,108",31.5,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Judith Drouillard Benoit,Verite,"1,825",14,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Pierre Sadrac Fenelus,Renmen Ayiti,"1,825",14,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Jean Rodrigue Paul,OPL,"1,805",13.8,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Joseph Martial Depas,AAA,"1,153",8.8,,,,
LEGISLATIVE ELECTION,,OUEST,2015,7 others,,,,,,,
LEGISLATIVE ELECTION,,OUEST,2015,,,,,,,,
LEGISLATIVE ELECTION,CARREFOUR,OUEST,2015,JACQUES BEAUVIL,Verite,"3,070",15.1,"28,642",62,,
LEGISLATIVE ELECTION,,OUEST,2015,Romage Fritzner Millien,Fanmi L,"2,567",12.6,"15,300",33.1,,
LEGISLATIVE ELECTION,,OUEST,2015,Elie Blaise,PHTK,"1,978",9.7,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Harold Domond,KID,"1,731",8.5,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Lucmanne Delille,Consortium,"1,477",7.3,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Nadine Anilus,Fusion,"1,087",5.4,,,,
LEGISLATIVE ELECTION,,OUEST,2015,25 others,,,,,,,
LEGISLATIVE ELECTION,,OUEST,2015,,,,,,,,
LEGISLATIVE ELECTION,CITE SOLEIL,OUEST,2015,Lemaire Pierre,Renmen Ayiti,"7,082",26.7,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Almetis Saint-Fleur,OPL,"4,180",15.8,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Luckenson Dalmand,Fusion,"2,906",11,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Nancy Jennifer Andou,Adebha,"1,723",6.5,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Evens Jean,Verite,"1,673",6.3,,,,
LEGISLATIVE ELECTION,,OUEST,2015,31 others,,,,,,,
LEGISLATIVE ELECTION,,OUEST,2015,,,,,,,,
LEGISLATIVE ELECTION,CORNILLON,OUEST,2015,Raymonde Rival,APLA,"4,546",43.4,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Alphonse Medeus,Verite,"3,034",29,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Lamarre Baptiste,PHTK,"2,374",22.7,,,,
LEGISLATIVE ELECTION,,OUEST,2015,5 others,,,,,,,
LEGISLATIVE ELECTION,,OUEST,2015,,,,,,,,
LEGISLATIVE ELECTION,CROIX DES BOUQUETS,OUEST,2015,WILLER JEAN JEAN,KID,"2,179",14.2,"17,701",62.2,,
LEGISLATIVE ELECTION,,OUEST,2015,Eric Cabner,Verite,"1,119",7.3,"9,805",34.5,,
LEGISLATIVE ELECTION,,OUEST,2015,Pierre Fenel Miracles,Uncrh,891,5.8,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Guerby Blaise,Bloc 20,770,5,,,,
LEGISLATIVE ELECTION,,OUEST,2015,33 others,,,,,,,
LEGISLATIVE ELECTION,,OUEST,2015,,,,,,,,
LEGISLATIVE ELECTION,DELMAS,OUEST,2015,GARY BODEAU,Bouclier,"2,337",16.9,"27,099",56.8,,
LEGISLATIVE ELECTION,,OUEST,2015,Ernst Jeudy,Randevous,"1,691",12.2,"17,828",37.4,,
LEGISLATIVE ELECTION,,OUEST,2015,Jean Francois Martin,Fanmi L,"1,358",9.8,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Evelyne Sainvil,Ppg18,796,5.8,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Jacquelin Charlot,Verite,772,5.6,,,,
LEGISLATIVE ELECTION,,OUEST,2015,35 others,,,,,,,
LEGISLATIVE ELECTION,,OUEST,2015,,,,,,,,
LEGISLATIVE ELECTION,FONDS-VERRETTES-GANTHIER,OUEST,2015,PIERRE JUDE DESTINE,Verite,"4,924",28.9,"14,992",64.2,,
LEGISLATIVE ELECTION,,OUEST,2015,Francois Sanozier,OPL,"4,559",26.8,"8,163",35,,
LEGISLATIVE ELECTION,,OUEST,2015,Jean Jorel Vil,Renmen Ayiti,"2,255",13.3,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Jean Augustin Brésil,Fusion,"1,146",6.7,,,,
LEGISLATIVE ELECTION,,OUEST,2015,10 others,,,,,,,
LEGISLATIVE ELECTION,,OUEST,2015,,,,,,,,
LEGISLATIVE ELECTION,GRAND-GOAVE,OUEST,2015,JEAN MARCEL LUMERANT,KID,"4,553",41.3,"7,371",50.2,,
LEGISLATIVE ELECTION,,OUEST,2015,Jean Philippe Sassine,Verite,"3,575",32.4,"7,265",49.5,,
LEGISLATIVE ELECTION,,OUEST,2015,Marie Benita Exume,Fusion,"1,593",14.5,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Wouillio Zamor,Platfòm P,816,7.4,,,,
LEGISLATIVE ELECTION,,OUEST,2015,6 others,,,,,,,
LEGISLATIVE ELECTION,,OUEST,2015,,,,,,,,
LEGISLATIVE ELECTION,GRESSIER,OUEST,2015,Joseph Antonio Vericain,PHTK,"3,569",29,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Jean Ronald Oscar,KID,"3,043",24.7,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Jean Elie Val,Verite,"1,507",12.2,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Dorvil Jean Saint Louis,Fanmi L,889,7.2,,,,
LEGISLATIVE ELECTION,,OUEST,2015,Elie Jean,FUN,882,7.2,,,,
